# Model read finished. Duration 1.57694482803 
# Model validity check skipped
# WARNING, no previous map found for <MetaAttribute: ccp.nmr.Nmr.DataDimRef.localValuePerPoint> (www.ccpn.ac.uk_Fogh_2008-10-15-12:22:42_00001)
# WARNING, no previous map found for <MetaAttribute: ccp.nmr.Nmr.DataDimRef.localValuePerPoint> (www.ccpn.ac.uk_Fogh_2008-10-15-12:22:42_00001)
# Modified CCPN DNA A prot:H1: no CING, DYANA, CYANA
# Modified CCPN DNA C prot:H3: no CING, DYANA, CYANA
# Modified CCPN DNA G prot:H7,H1
# Modified CCPN RNA A prot:H1
# Modified CCPN RNA C prot:H3
# Modified CCPN RNA G prot:H7,H1
# Modified CCPN protein Tyr deprot:HH: no CING, CYANA, DYANA
# Modified HOH: CING collumn contains H1, H2, O, QH
#
RESIDUE  CING -    CYANA2.1 -    DIANA -    IUPAC PLM  PDB_REMED PLM   CCPN other Plm neutral
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED C1       CCPN C1
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED C2       CCPN C2
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED C3       CCPN C3
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED C4       CCPN C4
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED C5       CCPN C5
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED C6       CCPN C6
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED C7       CCPN C7
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED C8       CCPN C8
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED C9       CCPN C9
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED CA       CCPN CA
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED CB       CCPN CB
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED CC       CCPN CC
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED CD       CCPN CD
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED CE       CCPN CE
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED CF       CCPN CF
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED CG       CCPN CG
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED H        CCPN H
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC H2*     PDB_REMED H2*      CCPN H2*
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED H21      CCPN H21
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED H22      CCPN H22
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC H3_*    PDB_REMED H3*      CCPN H3*
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED H31      CCPN H31
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED H32      CCPN H32
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC H4_*    PDB_REMED H4*      CCPN H4*
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED H41      CCPN H41
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED H42      CCPN H42
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC H5_*    PDB_REMED H5*      CCPN H5*
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED H51      CCPN H51
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED H52      CCPN H52
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC H6_*    PDB_REMED H6*      CCPN H6*
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED H61      CCPN H61
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED H62      CCPN H62
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC H7_*    PDB_REMED H7*      CCPN H7*
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED H71      CCPN H71
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED H72      CCPN H72
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC H8_*    PDB_REMED H8*      CCPN H8*
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED H81      CCPN H81
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED H82      CCPN H82
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC H9*     PDB_REMED H9*      CCPN H9*
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED H91      CCPN H91
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED H92      CCPN H92
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC HA*     PDB_REMED HA*      CCPN HA*
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED HA1      CCPN HA1
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED HA2      CCPN HA2
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC HB*     PDB_REMED HB*      CCPN HB*
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED HB1      CCPN HB1
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED HB2      CCPN HB2
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC HC*     PDB_REMED HC*      CCPN HC*
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED HC1      CCPN HC1
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED HC2      CCPN HC2
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC HD*     PDB_REMED HD*      CCPN HD*
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED HD1      CCPN HD1
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED HD2      CCPN HD2
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC HE*     PDB_REMED HE*      CCPN HE*
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED HE1      CCPN HE1
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED HE2      CCPN HE2
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC HF*     PDB_REMED HF*      CCPN HF*
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED HF1      CCPN HF1
ATOM   CING -       CYANA2.1 -       DIANA -       IUPAC -       PDB_REMED HF2      CCPN HF2
