pdb_id,bmrb_id
1a03,4430
1a2i,4291
1a3p,4201
1a5e,4086
1a5j,4114
1a60,4120
1a7f,994
1a91,4146
1a93,4200
1aab,4079
1abt,5024
1acp,3
1adn,4925
1ag2,5197
1ahd,4104
1ahl,5
1akk,4189
1akp,4036
1aml,5400
1apc,1672
1aps,329
1aq5,4054
1arq,395
1arr,395
1atx,1206
1auu,4095
1ax3,1663
1axh,4233
1ayg,5086
1azj,4058
1azk,4059
1b0s,4392
1b10,4307
1b1v,4292
1b22,4328
1b2i,4276
1b2t,4397
1b3c,4279
1b3i,4414
1b4c,4001
1b4g,4476
1b4i,4477
1b4m,4681
1b4o,4570
1b4r,4478
1b4y,4400
1b5n,4292
1b64,4117
1b69,4165
1b6f,4417
1b75,4395
1b8q,4304
1b9p,4481
1b9q,4481
1ba5,4210
1ba9,4202
1bal,2546
1bax,6400
1bb8,4160
1bba,2223
1bbg,4211
1bbi,1495
1bbl,2546
1bbn,4094
1bc6,4268
1bci,4188
1bcn,4094
1bcv,4212
1bd6,4268
1bdc,1120
1bdd,1120
1bde,4192
1bds,480
1bf8,4070
1bfw,4213
1bfy,4182
1bh1,4194
1bha,2282
1bhb,2282
1bhi,4216
1bhu,4217
1big,4190
1bj8,4150
1bjd,4176
1bjx,4156
1bk8,4163
1bku,4219
1bla,4091
1bld,4091
1blq,4401
1blr,4186
1bm4,4221
1bm6,4173
1bmr,4853
1bmx,4220
1bn0,4175
1bn9,4172
1bno,4326
1bnp,4326
1bnr,975
1bo0,4177
1bpv,4295
1bq0,4227
1bqt,2498
1bqx,4229
1bqz,4227
1br0,4198
1brv,4020
1bt7,4617
1buq,4230
1bus,53
1bv2,4917
1bv8,4168
1bw5,4121
1bwe,4229
1bwm,4330
1bwt,4235
1bx5,4244
1bxp,4195
1byv,4260
1bzb,4261
1bzf,4262
1c05,4577
1c06,4577
1c0v,4146
1c11,4243
1c15,4661
1c17,4151
1c20,4334
1c2q,4547
1c32,4372
1c34,4372
1c3t,4663
1c49,4760
1c54,4259
1c55,4443
1c56,4443
1c5a,421
1c6w,4696
1c89,4449
1c8a,4449
1c8p,4308
1c99,4151
1c9f,4451
1cb1,390
1cb3,4483
1cb9,4418
1cbh,192
1ccq,4418
1ccv,4422
1cdn,327
1ce3,4487
1ce4,4322
1cej,4437
1cey,2950
1cf4,4700
1cfe,4301
1cff,5480
1cfl,4488
1cg7,4869
1ci5,4455
1cix,5268
1cjg,4813
1ck2,4339
1ckk,5770
1ckr,4497
1ckv,4431
1ckw,4595
1ckx,4596
1cky,4596
1ckz,4595
1cl4,4498
1clb,327
1clh,4037
1cmz,4407
1cn2,4218
1cn7,4339
1cnl,4399
1cnn,4500
1cnp,4430
1coc,4416
1cok,4413
1cop,1743
1cou,4396
1cpz,4344
1cqo,4550
1cqu,4551
1cr8,4475
1cw5,4506
1cw6,4507
1cwx,4669
1cx1,4706
1cxr,4509
1cxw,4510
1cyu,4827
1cyv,4827
1cz4,4376
1cz5,4376
1d0r,4741
1d0w,5214
1d1d,4384
1d1e,5215
1d1f,5216
1d1n,4697
1d1o,4581
1d2b,4327
1d2l,4514
1d3z,6457
1d4b,4574
1d5g,4123
1d6k,4395
1d7q,4519
1d8b,4445
1d8j,4721
1d8k,4721
1d8v,4522
1d9s,4701
1daq,4524
1dbd,4087
1dc2,4526
1dc7,4527
1dc8,4528
1dcj,4819
1dcz,4666
1ddm,4263
1de1,4458
1de2,4458
1de3,4158
1dey,4667
1df3,4340
1df6,4461
1dgo,4536
1dgq,4553
1dhm,4035
1dk2,4326
1dk3,4326
1dkc,4615
1dl0,4685
1dlz,4601
1do9,4602
1doq,4583
1dp3,4584
1dpu,4460
1dqb,4630
1dqc,4290
1ds9,4265
1dtk,66
1du1,4631
1du6,4572
1du9,4585
1duj,4775
1dv0,4757
1dv5,4603
1dwy,4563
1dwz,4563
1dx7,4303
1dxn,4618
1dxw,4617
1e09,4671
1e0e,4619
1e0g,4680
1e0h,4115
1e0l,4714
1e0m,4713
1e0n,4715
1e17,4675
1e1g,4736
1e1j,4736
1e1u,4620
1e1w,4620
1e2b,4955
1e3y,4333
1e41,4333
1e4u,4621
1e52,4622
1e5b,4623
1e5c,4623
1e68,4112
1e74,4845
1e75,4846
1e76,4847
1e8e,4837
1e8l,1093
1e8p,3322
1e8q,3322
1e9t,5771
1ed0,4587
1ed7,4588
1edp,2262
1eds,4655
1edv,4654
1edw,4653
1edx,4652
1ee7,4604
1ef4,4571
1egf,2201
1egl,18
1ego,2151
1egr,2151
1egx,5754
1eh2,4184
1ehj,4743
1ehx,4589
1eig,4590
1eih,4590
1eii,4682
1eij,4674
1eik,4678
1ejp,4591
1ejq,4591
1ekz,4894
1el0,4686
1el2,4692
1emq,4609
1emw,4727
1emx,4755
1emz,4699
1eoq,4593
1eot,4155
1epg,1729
1eph,1729
1epi,1729
1epj,1729
1eqk,4748
1eqx,4607
1esx,4257
1ev0,4237
1evm,4610
1evo,4612
1eww,5572
1exk,4677
1ey1,4737
1eyf,4925
1eza,4106
1ezb,4106
1ezc,4106
1ezd,4106
1ezo,4986
1ezp,4986
1ezt,4386
1ezy,4386
1f0z,4470
1f16,4632
1f22,4743
1f2h,4636
1f3c,4911
1f3y,4448
1f43,4637
1f53,4758
1f5g,4614
1f62,4928
1f7w,4717
1f7x,4717
1f81,4789
1f8p,5550
1f95,4911
1f96,4911
1fa3,4638
1fa4,4738
1faf,4403
1fcl,5152
1fd6,5151
1fdf,4651
1fex,4639
1ffj,4815
1fh3,4853
1fho,4373
1fi0,4799
1fi3,4960
1fi6,4778
1fj7,4858
1fjc,4863
1fje,4867
1fjk,4907
1fjn,4640
1fjp,4907
1fkc,4641
1fm1,4679
1fmh,4872
1fo5,4817
1fo7,4641
1fov,4850
1fpw,4798
1fqq,4642
1fr0,4857
1fry,4643
1fu9,4939
1fuw,4633
1fv5,4644
1fvn,4862
1fw7,4964
1fwo,4645
1fyi,4646
1fyj,4634
1fyy,4647
1fzt,4648
1g03,4649
1g04,4650
1g10,4560
1g11,4560
1g1e,4635
1g25,4890
1g26,4656
1g2h,4784
1g47,4884
1g4f,4981
1g4g,4981
1g5v,4899
1g6e,4833
1g6j,4245
1g6m,4891
1g6p,4895
1g7d,4920
1g7e,4919
1g7o,4318
1g89,5938
1g8c,4552
1g92,4921
1g9e,4628
1g9l,4915
1g9p,4923
1ga3,4843
1gd3,4827
1gd4,4828
1gea,4916
1gh5,4833
1gh9,4740
1ght,4269
1giw,4189
1gjx,5067
1gjz,5101
1gk5,5120
1gkg,5900
1gkn,5900
1gl5,4145
1gm0,4849
1gm1,5131
1gnf,4423
1go0,5485
1go1,5485
1go5,5364
1gxe,5014
1gxi,5360
1h0l,5378
1h0z,5551
1h2o,5490
1h3h,5388
1h3z,5538
1h4b,5707
1h5p,5558
1h67,4880
1h6q,4447
1h7y,4447
1h8b,4453
1h92,5223
1h95,4147
1h9f,5043
1ha6,4703
1ha8,4979
1ha9,5176
1haa,4195
1haj,4195
1hbw,5180
1hcc,1479
1hd6,4820
1hdl,4910
1hdn,2371
1heh,4900
1hej,4900
1hev,6123
1hf9,4906
1hff,4914
1hfg,4914
1hfn,4914
1hhn,4878
1hi7,4930
1hic,1128
1hiq,1344
1his,1344
1hit,1344
1hj0,5257
1hjd,4731
1hjm,5713
1hjn,5713
1hko,5745
1hkt,4046
1hll,5143
1hls,994
1hmj,4144
1hn6,4787
1ho9,5149
1hod,5149
1hof,5143
1hom,1037
1hoy,4948
1hp2,4924
1hp3,4923
1hpw,4918
1hqb,4603
1hs5,4934
1hs7,4945
1hu5,5037
1hu6,5034
1hu7,5034
1hue,4047
1hui,994
1hvw,4937
1hwq,5007
1hx7,4269
1hxv,4953
1hy8,4989
1hyj,4579
1hze,4954
1hzk,4946
1hzl,4947
1hzm,4818
1i02,4966
1i11,5036
1i17,4938
1i18,4954
1i1s,4957
1i25,4988
1i26,5039
1i2u,5033
1i2v,4976
1i35,4463
1i42,5155
1i4c,5023
1i4v,5022
1i56,4876
1i5h,4963
1i5j,6143
1i5t,5026
1i6c,4882
1i6f,5029
1i6g,5029
1i6y,5201
1i8e,5021
1i8x,4971
1i8y,4971
1i98,5020
1ib9,5028
1ibi,5065
1ich,5018
1idg,5024
1idh,5024
1idi,5024
1idl,5024
1idv,5046
1ie5,5044
1ieh,4969
1ifw,5053
1ig6,4100
1ih0,4994
1ih9,4993
1ihq,4995
1iio,4996
1ija,4879
1ijc,5097
1ijz,5004
1ik0,5004
1ik8,4948
1ikc,4948
1il8,280
1ilo,4991
1ily,4688
1im1,4420
1imo,5041
1imp,4115
1imq,4115
1imu,5055
1in1,5041
1inz,4959
1iob,2718
1iox,4990
1ip0,4990
1iqo,5129
1iqs,5129
1ir5,5243
1irf,4161
1irg,4161
1irr,5188
1irz,5174
1it1,5333
1itf,4081
1iti,4094
1ity,5317
1iur,10119
1iv6,5317
1ivm,4751
1ivt,5224
1iw4,5348
1ix5,4668
1iy3,5130
1iy4,5130
1iy5,5469
1iy6,5470
1iyc,5491
1iyf,5500
1iym,5459
1iyr,5408
1j0f,10097
1j0t,5633
